feature,mean_abs_shap,fold
SH2D2A (9047),0.0016767615813608019,7
NTHL1 (4913),0.0009937089422864041,7
AGBL5 (60509),0.0007651670503958153,7
SYT7 (9066),0.0005075212552631458,7
SEL1L3 (23231),0.0004942748954625857,7
EYA2 (2139),0.0004904290168684031,7
CACNG4 (27092),0.00048285624523936835,7
ACER3 (55331),0.000473357776440576,7
ETV1 (2115),0.00042926099917640795,7
LRCH4 (4034),0.00040802417304059346,7
ST6GALNAC2 (10610),0.0003952878125246073,7
FKBP1A (2280),0.0003897581659745598,7
FBLN1 (2192),0.00037517754814880627,7
SIDT1 (54847),0.0003693609272585947,7
CYFIP2 (26999),0.0003503948034334721,7
DCN (1634),0.0003482600738480763,7
TRAPPC6A (79090),0.00032629604034640635,7
SMC1A (8243),0.00030957354916812433,7
CHRNA3 (1136),0.0002746722553786723,7
EML1 (2009),0.00026655091952600254,7
HEXB (3074),0.0002625804639284316,7
KCNK2 (3776),0.0002519659348755502,7
FHIP1B (84067),0.0002519249864962387,7
ABCF2 (10061),0.00024400460919035046,7
MAST2 (23139),0.0002396104394283492,7
UNG (7374),0.00023454209863108295,7
FYN (2534),0.00023423897703334884,7
KIF3C (3797),0.00022986551634723122,7
FUCA2 (2519),0.00022595303555067442,7
PSEN1 (5663),0.00022082032345993472,7
IL32 (9235),0.0002099885551542446,7
ATP2B4 (493),0.00020904576242696487,7
ATG2B (55102),0.0002050168690001532,7
PPP1R3F (89801),0.00020402828065058616,7
GPC4 (2239),0.0002002257292583948,7
SEC62 (7095),0.00019858467872104543,7
FBXW11 (23291),0.00019698620036505974,7
THPO (7066),0.00019657641051815287,7
SLC4A7 (9497),0.0001919364488603577,7
RGS1 (5996),0.000191398992915026,7
RASAL2 (9462),0.00019091362415217544,7
GNPTG (84572),0.0001900953501167745,7
FCGR2B (2213),0.00018880901638477157,7
SART3 (9733),0.00018828430325943036,7
STXBP2 (6813),0.00018103989623257272,7
SLC11A1 (6556),0.00017973747736901388,7
HSD17B6 (8630),0.00017778263678491684,7
TLE2 (7089),0.0001756151669374308,7
KCNG1 (3755),0.00017430534443475346,7
LAMB1 (3912),0.00017147881431699952,7
NRCAM (4897),0.00017069699947530769,7
ADGRF5 (221395),0.00016865432917044537,7
IL4R (3566),0.00016154679519827573,7
NKAIN1 (79570),0.00016137169025014035,7
FAP (2191),0.00015542482078576922,7
PARP3 (10039),0.00015262512951290602,7
SCGN (10590),0.00015225737163880048,7
PGM3 (5238),0.0001522169580149402,7
CNN2 (1265),0.00014907645521527137,7
FOLH1 (2346),0.00014879298716599244,7
PTPN21 (11099),0.00014325458779106427,7
BLTP3A (54887),0.00014081264409329216,7
SLC25A43 (203427),0.00014038502599561222,7
VASH1 (22846),0.0001383994650817723,7
ASPM (259266),0.00013787991126323467,7
ZIC2 (7546),0.0001371754737366298,7
ARG2 (384),0.0001330962357181952,7
MKS1 (54903),0.00013096940432186238,7
GCKR (2646),0.0001302244366818502,7
ATP11B (23200),0.0001281018369431566,7
FAM114A2 (10827),0.00012591810173303864,7
PCBP4 (57060),0.00012529650403541454,7
ABCA7 (10347),0.0001247953932491311,7
