feature,mean_abs_shap,fold
FUNDC1 (139341),0.0011260790267783388,8
HFE (3077),0.0009008882670923262,8
PDCD7 (10081),0.0008580541437518348,8
GPC1 (2817),0.000839813354470218,8
PDK3 (5165),0.0005397234698393966,8
LXN (56925),0.00044378618398419506,8
CDH3 (1001),0.00043617797748746634,8
HEATR5B (54497),0.00037517989905595984,8
MOV10L1 (54456),0.0003746948651556485,8
ATP2B4 (493),0.000301831823803306,8
JKAMP (51528),0.00029283373857485855,8
RASSF1 (11186),0.0002810273937913809,8
WWTR1 (25937),0.0002684313118476138,8
SMC1A (8243),0.00025046346561996205,8
CD22 (933),0.00020739256218354663,8
PITPNM2 (57605),0.00019333014578283483,8
RPS6KA2 (6196),0.00018949178503198735,8
LAMC3 (10319),0.0001856736101255803,8
IGSF9B (22997),0.00018161018781680203,8
COQ9 (57017),0.00018140963591469015,8
CREBBP (1387),0.00017973235239641147,8
CELSR1 (9620),0.00017905651405452706,8
RASAL2 (9462),0.00017553343497874455,8
KDM5D (8284),0.00016741020857694258,8
CDK14 (5218),0.00016668298123416556,8
TNC (3371),0.0001641990686875861,8
ALAS1 (211),0.00016381772953110945,8
ARHGEF5 (7984),0.00015598866204278168,8
CDH10 (1008),0.00015560623336939981,8
PMS1 (5378),0.0001482527757061784,8
TMCC3 (57458),0.00014766192181659947,8
NRXN3 (9369),0.00014077186459647534,8
AK6 (102157402),0.00013477052669225818,8
COL11A1 (1301),0.00013225673266781672,8
SLC46A1 (113235),0.00012239689260221869,8
GRHL2 (79977),0.00012189499380577412,8
TRAF4 (9618),0.00011524893351529032,8
SPTB (6710),0.00011358155235025426,8
MCF2L2 (23101),0.00011293581408193775,8
CPS1 (1373),0.00011169922531650513,8
SERPINB3 (6317),0.00011154492630356825,8
EHD2 (30846),0.00010838629677644995,8
RAB7A (7879),0.00010804191767153101,8
NEO1 (4756),0.00010780843996228402,8
ELMO2 (63916),0.00010632718041059793,8
CD79B (974),0.00010434551522693035,8
N4BP2 (55728),0.00010399861520322195,8
AGBL5 (60509),0.00010326007599433371,8
TULP3 (7289),0.00010068293487599989,8
LZTS1 (11178),9.559729519833584e-05,8
CTNNA2 (1496),9.373816612686173e-05,8
ITGA8 (8516),9.201985283237766e-05,8
CASP8 (841),9.070931337435583e-05,8
CEP68 (23177),8.91963184783183e-05,8
MAP3K4 (4216),8.629018337894869e-05,8
TM7SF3 (51768),8.406823026504313e-05,8
ARHGAP4 (393),8.209053704462292e-05,8
IL4R (3566),8.190536302897579e-05,8
LMCD1 (29995),7.836313561067833e-05,8
AHRR (57491),7.786591747022683e-05,8
ADCY2 (108),7.646786562046234e-05,8
RBL1 (5933),7.48032875732662e-05,8
VIM (7431),7.2501160513014e-05,8
LIMS2 (55679),7.208139421074867e-05,8
MKNK1 (8569),7.151113437113091e-05,8
HYAL2 (8692),7.136252504950175e-05,8
DERL2 (51009),7.129339320345418e-05,8
ALDH3B1 (221),7.098668146423548e-05,8
C1QTNF3 (114899),7.060907120409828e-05,8
DNMT3B (1789),6.982477604327236e-05,8
DLG3 (1741),6.873293498551287e-05,8
NGFR (4804),6.866155965357613e-05,8
TBX5 (6910),6.755950977058296e-05,8
ALOX5 (240),6.754422986231313e-05,8
SLC1A3 (6507),6.730274689750612e-05,8
THOC1 (9984),6.555929580765803e-05,8
ARHGAP15 (55843),6.529634457622505e-05,8
IBTK (25998),6.494514725501085e-05,8
ANK1 (286),6.369361159754912e-05,8
ACADVL (37),6.224258733890996e-05,8
FRYL (285527),6.157329356602468e-05,8
NDUFB4 (4710),6.108506938578981e-05,8
PITX1 (5307),6.013577145354681e-05,8
HMGB3 (3149),5.974287056944601e-05,8
PILRA (29992),5.954604028381252e-05,8
PHLPP2 (23035),5.9136339872041234e-05,8
IL17RB (55540),5.846514346670936e-05,8
MYH7B (57644),5.807571790449258e-05,8
MRI1 (84245),5.622175851188251e-05,8
HSPA5 (3309),5.5844407207515824e-05,8
ULK2 (9706),5.5815753598498505e-05,8
SDCCAG8 (10806),5.5180145840249244e-05,8
H6PD (9563),5.4475710439259114e-05,8
C3orf18 (51161),5.4350778487936644e-05,8
PIGS (94005),5.4134775800124324e-05,8
CCNK (8812),5.334129597181099e-05,8
UNG (7374),5.167635735803438e-05,8
MGST2 (4258),5.1138935549959934e-05,8
OSBPL5 (114879),5.103746531862408e-05,8
NDC80 (10403),5.100311037176145e-05,8
KCNN2 (3781),5.041832186986464e-05,8
IL20RA (53832),4.975110386611755e-05,8
RPH3A (22895),4.914020412382243e-05,8
MAPK8IP2 (23542),4.84473575987739e-05,8
VCL (7414),4.819340865411307e-05,8
RWDD2A (112611),4.7336563760517e-05,8
AKAP8L (26993),4.731314091742253e-05,8
SIRT6 (51548),4.722964978956027e-05,8
HEPH (9843),4.6946964538743154e-05,8
TNPO1 (3842),4.6566317552751836e-05,8
HUWE1 (10075),4.6265241892813775e-05,8
CCNT2 (905),4.618361133864271e-05,8
SCARB1 (949),4.582900234789151e-05,8
TCF7 (6932),4.550440107510272e-05,8
ANOS1 (3730),4.51291206850986e-05,8
CEACAM1 (634),4.495271319020729e-05,8
COL5A3 (50509),4.4874658830226124e-05,8
CDIP1 (29965),4.477583154710175e-05,8
ADAM11 (4185),4.4468147047164865e-05,8
ATP2C2 (9914),4.380859906165264e-05,8
GCLC (2729),4.292085243419101e-05,8
SCIN (85477),4.280281277782463e-05,8
ITM2A (9452),4.2219055609172605e-05,8
RBBP9 (10741),4.213594857988621e-05,8
CSDE1 (7812),4.162483724968366e-05,8
MAMLD1 (10046),4.137505394248548e-05,8
MRPL22 (29093),4.127160209503189e-05,8
ZFYVE16 (9765),4.1026549975302316e-05,8
LTK (4058),4.014342919200771e-05,8
TYMP (1890),3.969490999833831e-05,8
ADSS2 (159),3.9533527945634485e-05,8
SLC24A1 (9187),3.9374310597279774e-05,8
TMPRSS11E (28983),3.9292344424357805e-05,8
EPB41L1 (2036),3.904355517739167e-05,8
ASNS (440),3.773716701435395e-05,8
ALDH18A1 (5832),3.768675430773981e-05,8
IPO5 (3843),3.671416801837401e-05,8
KEAP1 (9817),3.668576060132017e-05,8
ATRX (546),3.586132775639763e-05,8
MGAT4A (11320),3.566073866170542e-05,8
DGKG (1608),3.547981599207017e-05,8
EFR3B (22979),3.5146015903854946e-05,8
CLDND1 (56650),3.5076995410859934e-05,8
RAB27B (5874),3.505839863001696e-05,8
RCN1 (5954),3.425023716389846e-05,8
FAT1 (2195),3.384692587830044e-05,8
GRAMD4 (23151),3.383463985991318e-05,8
PSMC4 (5704),3.308288511770651e-05,8
SNX1 (6642),3.2906848258502095e-05,8
IL5RA (3568),3.2551643886764125e-05,8
PHRF1 (57661),3.248737457611763e-05,8
P4HA2 (8974),3.214763820983978e-05,8
PIK3C2A (5286),3.164117125643433e-05,8
PRKCH (5583),3.1560492414951034e-05,8
ENTPD2 (954),3.126585376486673e-05,8
PRSS21 (10942),3.0519224120769093e-05,8
CD74 (972),3.010490831611112e-05,8
MAP4K4 (9448),2.951278915579086e-05,8
PTPN18 (26469),2.9416994993781158e-05,8
RAPGEF3 (10411),2.93587542375687e-05,8
ATOSB (80256),2.920299548426701e-05,8
KDM4A (9682),2.9075521156550022e-05,8
COL4A4 (1286),2.873923167615153e-05,8
NPFFR2 (10886),2.8638117440139708e-05,8
GPRC5A (9052),2.861591742004051e-05,8
CELF2 (10659),2.8550633448890095e-05,8
RHOA (387),2.7843525997408347e-05,8
RFC1 (5981),2.782756663325888e-05,8
SOAT1 (6646),2.7780562795300284e-05,8
RGS1 (5996),2.772423558397473e-05,8
EPDR1 (54749),2.7682844361322364e-05,8
ATOSA (56204),2.7205901642241027e-05,8
EVC (2121),2.7158571865418263e-05,8
SNCAIP (9627),2.6921015245839762e-05,8
NOX4 (50507),2.6079318736850802e-05,8
TNPO3 (23534),2.5734939790871915e-05,8
GOPC (57120),2.5724539068083113e-05,8
ZNF582 (147948),2.5379195619211986e-05,8
ARHGEF1 (9138),2.5140926165950274e-05,8
KCNQ1 (3784),2.5003166901465234e-05,8
CDH17 (1015),2.4856864534959393e-05,8
CTTN (2017),2.4627518710491416e-05,8
NHERF2 (9351),2.448067971908382e-05,8
IPCEF1 (26034),2.393747747753338e-05,8
MPPED2 (744),2.3872785864745597e-05,8
PRKACA (5566),2.363035161045287e-05,8
FYN (2534),2.3325224951439676e-05,8
FGR (2268),2.3049481548759366e-05,8
LMAN1 (3998),2.2972682110494166e-05,8
GSTO2 (119391),2.289021613040022e-05,8
BRD9 (65980),2.279721633611641e-05,8
SEMA3A (10371),2.2616566600317268e-05,8
LGALS14 (56891),2.256960579009978e-05,8
TP73 (7161),2.2466035681123825e-05,8
ETV7 (51513),2.2322908509459822e-05,8
