feature,mean_abs_shap,fold
DKK3 (27122),0.0015254742565694757,2
DLL3 (10683),0.0011269723418511348,2
PPP1R13B (23368),0.0010014114573483049,2
ADGRL1 (22859),0.0008729592484093435,2
IFI35 (3430),0.0007045590249387345,2
SERPINB1 (1992),0.0006553180591720614,2
FAS (355),0.0006265721086229944,2
TRIB2 (28951),0.0006009437423663151,2
HEXB (3074),0.00044010445921045414,2
RBM22 (55696),0.0004277929361801964,2
MUSK (4593),0.0004230201712934974,2
CRY1 (1407),0.00042157998556138386,2
MLXIPL (51085),0.0003720699932318688,2
SLC38A5 (92745),0.0003659928720506704,2
RETSAT (54884),0.0003516161626803223,2
TBXA2R (6915),0.00032726320942398765,2
TTC38 (55020),0.0003201550477874469,2
CHRDL2 (25884),0.00031801283537758677,2
RGS11 (8786),0.0003077494854165632,2
ELMO2 (63916),0.00029640841027220213,2
OAS1 (4938),0.0002928346592255979,2
CRYBG3 (131544),0.00029172335353335534,2
SEMA3B (7869),0.0002800625973782583,2
GAB2 (9846),0.0002635700868452803,2
ASAP3 (55616),0.00025148764876423445,2
NEO1 (4756),0.000248385765679196,2
STXBP2 (6813),0.00023902597478753064,2
NDC80 (10403),0.00023836841590693777,2
SOX8 (30812),0.00023793564890790803,2
SLC4A11 (83959),0.00023573459119684149,2
CHI3L2 (1117),0.00023086063411248872,2
EPDR1 (54749),0.00022333199146863642,2
ETV7 (51513),0.00022266459979427807,2
BIRC3 (330),0.00020924358913341972,2
MTFR1 (9650),0.00018856070354367836,2
DAPK2 (23604),0.00018361192176010154,2
MAP2K3 (5606),0.00017380278967254036,2
SNCB (6620),0.00016902599808427517,2
MAP3K9 (4293),0.0001678070179302499,2
SIRT6 (51548),0.00016386013005946411,2
VASH1 (22846),0.00016108597141298938,2
TMEM40 (55287),0.00015816403447980546,2
TLE2 (7089),0.00015559484517708576,2
RGPD5 (84220),0.00015027557776466858,2
FKBP7 (51661),0.00014814390481289455,2
DCT (1638),0.00014557069266981252,2
SULT2B1 (6820),0.00014525783214654078,2
STX7 (8417),0.0001426286283790782,2
SEMA5B (54437),0.0001400148165703727,2
PTHLH (5744),0.00013923156945360278,2
RNH1 (6050),0.0001275420427211207,2
TNC (3371),0.00011939531597017981,2
SEMA3A (10371),0.00011613197415398319,2
SNX10 (29887),0.00011442191600709385,2
EHD2 (30846),0.00011077498502514707,2
SLC6A15 (55117),0.00010991544372040053,2
DRD4 (1815),0.0001086453453322094,2
SF3B2 (10992),0.0001079599723058204,2
ASNS (440),0.00010788295393222823,2
FAP (2191),0.0001019109402941501,2
PRSS8 (5652),0.00010135287160563824,2
TACC3 (10460),0.00010064370320214425,2
CASP8 (841),0.0001005339169031258,2
ANK1 (286),9.823501216382001e-05,2
MAPK8IP2 (23542),9.755400612592656e-05,2
MDH1 (4190),9.60693957597688e-05,2
SCIN (85477),9.508516076658474e-05,2
HERPUD1 (9709),9.467788793978657e-05,2
WWC3 (55841),9.408333052582073e-05,2
UBA6 (55236),9.36906384840878e-05,2
CD22 (933),9.364174177291052e-05,2
MUL1 (79594),9.303611658973493e-05,2
SLC7A2 (6542),9.09328512942725e-05,2
WDR70 (55100),9.080222180868988e-05,2
SLC12A2 (6558),8.789568671699325e-05,2
PLAUR (5329),8.784376367844568e-05,2
MPO (4353),8.712837111308535e-05,2
SLC6A7 (6534),8.477849796348377e-05,2
NTN4 (59277),8.476810056496738e-05,2
F7 (2155),8.30666765504031e-05,2
IGSF9B (22997),8.260574817169491e-05,2
RNF126 (55658),8.25667370489278e-05,2
ETV1 (2115),8.2315132428526e-05,2
MCUB (55013),7.988703824295256e-05,2
FBLN1 (2192),7.985343903590928e-05,2
EYA2 (2139),7.918128361889975e-05,2
CTTN (2017),7.778863106529125e-05,2
MYO16 (23026),7.699416684873305e-05,2
MATK (4145),7.682385267461156e-05,2
HEPH (9843),7.503008084471634e-05,2
MEOX1 (4222),7.402358162345467e-05,2
TF (7018),7.303726700884801e-05,2
ING3 (54556),7.262500976765659e-05,2
DNASE1L1 (1774),7.072365306680119e-05,2
COASY (80347),7.026159839049802e-05,2
MAP4 (4134),7.007635356953483e-05,2
ATXN3 (4287),6.961318484490658e-05,2
MYO9A (4649),6.938548229569908e-05,2
POLQ (10721),6.913500891045757e-05,2
DCUN1D1 (54165),6.837762523533514e-05,2
SLC25A24 (29957),6.664871961274354e-05,2
PACC1 (55248),6.439673698468675e-05,2
UBE3C (9690),6.406238639839087e-05,2
TFE3 (7030),6.381172342033847e-05,2
LCP2 (3937),6.317022424493196e-05,2
HSD17B2 (3294),6.306169150407446e-05,2
ATP6V0A1 (535),6.235273975332223e-05,2
REXO1 (57455),6.19064501152062e-05,2
RAD54L (8438),6.134822271931608e-05,2
TENM1 (10178),6.012870471345984e-05,2
DNAH5 (1767),5.973696216063473e-05,2
PANX2 (56666),5.954931638346384e-05,2
SYNE2 (23224),5.913814439951858e-05,2
LAG3 (3902),5.891549904793655e-05,2
TSPAN32 (10077),5.7700319113931534e-05,2
DNAJC10 (54431),5.7065928303241795e-05,2
PTPRN (5798),5.63204618340789e-05,2
ORC1 (4998),5.519036706196517e-05,2
ADCY2 (108),5.484661091676813e-05,2
FKBP4 (2288),5.455238970377249e-05,2
GUCY1B1 (2983),5.4179237479275635e-05,2
GPM6B (2824),5.4008759229654e-05,2
RPS6KA6 (27330),5.388582632888747e-05,2
ITIH4 (3700),5.361618746268301e-05,2
PLPP1 (8611),5.3285198546264684e-05,2
GYG2 (8908),5.256989364384367e-05,2
RHBDD2 (57414),5.17424057609958e-05,2
CD74 (972),5.171152589619086e-05,2
CEACAM21 (90273),5.1636501333007204e-05,2
APBA2 (321),5.1300650581427435e-05,2
BARX2 (8538),5.066272414284788e-05,2
PRDM11 (56981),5.03229348114064e-05,2
ANAPC4 (29945),4.995969436695652e-05,2
ZNF506 (440515),4.9668075921898406e-05,2
UBE2D4 (51619),4.905736348175599e-05,2
MGAT4A (11320),4.8828225504916566e-05,2
SREBF1 (6720),4.851869898092238e-05,2
ME1 (4199),4.721069259720615e-05,2
KCNG1 (3755),4.6676255649914444e-05,2
ACER3 (55331),4.6525689030740646e-05,2
ZZEF1 (23140),4.641347599567966e-05,2
ULK2 (9706),4.6090136065097504e-05,2
FGFR2 (2263),4.597208934183358e-05,2
HSD17B14 (51171),4.531540225802441e-05,2
BAK1 (578),4.5045050204195e-05,2
NHERF2 (9351),4.444539746226115e-05,2
SCYL3 (57147),4.4161656907152155e-05,2
PTPN21 (11099),4.361296781588912e-05,2
RPS6KA2 (6196),4.330269893161428e-05,2
CYBA (1535),4.288213851415617e-05,2
TIE1 (7075),4.280658847744296e-05,2
TPX2 (22974),4.233714902950016e-05,2
ROS1 (6098),4.181221625455403e-05,2
CDH17 (1015),4.152942159051371e-05,2
CROCC (9696),4.023436814339181e-05,2
RBM7 (10179),4.014010140854787e-05,2
SLC4A1 (6521),4.000264388195541e-05,2
COL11A1 (1301),3.937314504814584e-05,2
HGF (3082),3.908349643810497e-05,2
KCNAB2 (8514),3.901361042855518e-05,2
BPIFB2 (80341),3.8833058319483295e-05,2
PVR (5817),3.850096390723908e-05,2
SERTAD4 (56256),3.834281291012307e-05,2
CD38 (952),3.818078349291014e-05,2
DIP2B (57609),3.735125304110462e-05,2
KDM7A (80853),3.720603760766113e-05,2
RELT (84957),3.7196778874907876e-05,2
SLC26A3 (1811),3.69971101172458e-05,2
CAD (790),3.6814166125593435e-05,2
IL20RA (53832),3.6577180071973594e-05,2
CRMP1 (1400),3.615563727220813e-05,2
LTBP1 (4052),3.471000994856479e-05,2
DDX43 (55510),3.462075608840574e-05,2
XYLT2 (64132),3.3847587535137305e-05,2
CELSR3 (1951),3.273904888929993e-05,2
ST6GAL1 (6480),3.2661580913032234e-05,2
JADE1 (79960),3.2627273649729786e-05,2
CFH (3075),3.261996596092257e-05,2
MYH7B (57644),3.251477871399018e-05,2
SRCAP (10847),3.232663056814297e-05,2
TSPAN6 (7105),3.231949238695671e-05,2
HEATR6 (63897),3.159471888851504e-05,2
GLP2R (9340),3.0532863357284093e-05,2
NIPAL3 (57185),3.0367131990525727e-05,2
SLC18A1 (6570),3.027192147859368e-05,2
GCKR (2646),3.016778633962823e-05,2
KCNH4 (23415),3.0002491026119923e-05,2
OPN3 (23596),2.9568550207185147e-05,2
CHDH (55349),2.9525351600623737e-05,2
POLDIP2 (26073),2.9187085332687514e-05,2
ADCK1 (57143),2.9100098208548864e-05,2
MIPEP (4285),2.8744462519854455e-05,2
CERS4 (79603),2.8287901231197958e-05,2
ADD2 (119),2.8228142558600637e-05,2
GPBP1 (65056),2.7932652920126574e-05,2
ZFAND6 (54469),2.7901293240613425e-05,2
CASR (846),2.7557647668702263e-05,2
UNG (7374),2.70746915968349e-05,2
TNFRSF12A (51330),2.7022057744112592e-05,2
SP140 (11262),2.655987018016828e-05,2
PLEKHG6 (55200),2.628763022373655e-05,2
CDC27 (996),2.6184468539048494e-05,2
TESK2 (10420),2.60026336017571e-05,2
CELF2 (10659),2.5698277378820962e-05,2
MPPED2 (744),2.563181701624152e-05,2
ATP1B3 (483),2.5622017875879192e-05,2
UTP18 (51096),2.5595948460761947e-05,2
DPP8 (54878),2.5386505820471815e-05,2
RAPGEF3 (10411),2.5262963295265027e-05,2
IL4R (3566),2.5053830745630977e-05,2
ADD1 (118),2.4209603617629992e-05,2
NSFL1C (55968),2.408006724651128e-05,2
DLX3 (1747),2.4076156054024986e-05,2
ATP2A3 (489),2.397237223988481e-05,2
TTC17 (55761),2.3877276829169155e-05,2
PIAS2 (9063),2.3776656411881414e-05,2
MARK3 (4140),2.3734405338053426e-05,2
JARID2 (3720),2.3443540347162433e-05,2
CACNA1S (779),2.3374378774075205e-05,2
NLK (51701),2.2978484869300237e-05,2
PTPRU (10076),2.2792345712408717e-05,2
IMPG2 (50939),2.2734059352387618e-05,2
KLHL20 (27252),2.2661170215363762e-05,2
CTNS (1497),2.2424771070077902e-05,2
TTC39A (22996),2.218173717632261e-05,2
TYR (7299),2.2143032882734595e-05,2
METTL13 (51603),2.2017756226821448e-05,2
DGKD (8527),2.2010925666913252e-05,2
PAK3 (5063),2.166397554405912e-05,2
MRPS10 (55173),2.1644224189894688e-05,2
PHLPP2 (23035),2.1630010510206767e-05,2
PUS7 (54517),2.1582329899049038e-05,2
EPB41L2 (2037),2.1273305087695627e-05,2
SNAI2 (6591),2.123700966750407e-05,2
SEMA3C (10512),2.1001253036156848e-05,2
NEDD4L (23327),2.0695887213078484e-05,2
GRN (2896),2.0619259616399373e-05,2
LIMCH1 (22998),2.0492970683948425e-05,2
ITGB5 (3693),2.012343758765411e-05,2
ASB4 (51666),2.0073945959787643e-05,2
PIK3C2A (5286),1.985307899416876e-05,2
WAPL (23063),1.9725337591806383e-05,2
HDAC7 (51564),1.9705694273284156e-05,2
IFFO1 (25900),1.9702942720020135e-05,2
POLB (5423),1.9673023820817097e-05,2
NRIP2 (83714),1.9574719535574544e-05,2
TRAF4 (9618),1.9526125579057423e-05,2
PGM1 (5236),1.9400382405582e-05,2
HS3ST1 (9957),1.9370193356779605e-05,2
PKP2 (5318),1.9261041138759802e-05,2
NNAT (4826),1.9117412369432546e-05,2
SH3BP2 (6452),1.8996500096108736e-05,2
LXN (56925),1.8788189295942464e-05,2
PHKA1 (5255),1.8687881032771392e-05,2
SMC1A (8243),1.8596276363844993e-05,2
CPS1 (1373),1.848877789869353e-05,2
RPUSD1 (113000),1.8376267817236238e-05,2
MBNL3 (55796),1.8361127376385074e-05,2
ATP6V1H (51606),1.834459994556816e-05,2
DYRK4 (8798),1.8248402125958528e-05,2
SOAT1 (6646),1.7998055631567776e-05,2
KDM5D (8284),1.7835643232401954e-05,2
ALDH3B1 (221),1.780511086016164e-05,2
GAS7 (8522),1.7706454736438564e-05,2
IGF1 (3479),1.7697505513029447e-05,2
NLRP1 (22861),1.7616290840674215e-05,2
PPP2R2C (5522),1.7183632609343132e-05,2
PAFAH1B3 (5050),1.7182200701615174e-05,2
OGFR (11054),1.7022694834296688e-05,2
ERCC8 (1161),1.6930106580299665e-05,2
STAP1 (26228),1.6920983809303755e-05,2
PDK3 (5165),1.6918344836698743e-05,2
RORA (6095),1.6843359969294462e-05,2
MECOM (2122),1.6769742611741704e-05,2
RIMBP2 (23504),1.64176285397942e-05,2
ATP11B (23200),1.6273921973000202e-05,2
ABCB1 (5243),1.620494272135214e-05,2
HSD17B6 (8630),1.60529150583486e-05,2
NUB1 (51667),1.6032686610242734e-05,2
FLYWCH1 (84256),1.5996963691275496e-05,2
TBC1D1 (23216),1.596435360732224e-05,2
TEAD3 (7005),1.591024133847173e-05,2
ATP2B4 (493),1.561342006624604e-05,2
CDK17 (5128),1.5557919394285435e-05,2
SLC9A3 (6550),1.5457312635123625e-05,2
VCAN (1462),1.5453355129718515e-05,2
IL32 (9235),1.5266386335252515e-05,2
RHOBTB1 (9886),1.5069200693603921e-05,2
MAN2B2 (23324),1.496321857076613e-05,2
PNKP (11284),1.4752537856512636e-05,2
SLC39A9 (55334),1.4643044963006129e-05,2
OSBPL8 (114882),1.463636069596993e-05,2
PI4K2B (55300),1.4622456445729536e-05,2
DSG2 (1829),1.459824730532084e-05,2
OTC (5009),1.4474696921689862e-05,2
GUCA2B (2981),1.4431294011143224e-05,2
YBX1 (4904),1.4260345971281687e-05,2
ZFYVE16 (9765),1.4105801019852925e-05,2
PHF21B (112885),1.406186814477244e-05,2
PKD1 (5310),1.3926434652551247e-05,2
PDZD4 (57595),1.3866184675416258e-05,2
RAP1GAP (5909),1.3840837696042942e-05,2
SLC4A4 (8671),1.3697383275873166e-05,2
SLC12A3 (6559),1.3214554293340403e-05,2
PYGM (5837),1.2886211686909277e-05,2
DCX (1641),1.2873274172823217e-05,2
TCF7 (6932),1.2827708890774872e-05,2
PTPN3 (5774),1.2678367178776858e-05,2
TEAD2 (8463),1.2569004472050788e-05,2
ZNF268 (10795),1.2427197273645519e-05,2
RARB (5915),1.2420668778427954e-05,2
MARK4 (57787),1.183205598138055e-05,2
OSBPL6 (114880),1.1779461249198975e-05,2
WDR7 (23335),1.1773703294886357e-05,2
TYMP (1890),1.1727155349949435e-05,2
RNASET2 (8635),1.1716778490628641e-05,2
SCGN (10590),1.1675837795752247e-05,2
TRAPPC6A (79090),1.1654930941539692e-05,2
MPND (84954),1.1649382703622392e-05,2
DUSP13B (51207),1.1634489123759357e-05,2
MYLIP (29116),1.1633759942033908e-05,2
TDRD3 (81550),1.1614076949784987e-05,2
RABEP1 (9135),1.156746689434452e-05,2
WDR3 (10885),1.1560514878956481e-05,2
ICAM1 (3383),1.145705618950233e-05,2
FMO3 (2328),1.1372096404798555e-05,2
CD59 (966),1.1177831431418019e-05,2
RASSF1 (11186),1.1120153736749765e-05,2
PSMC4 (5704),1.0949040283431516e-05,2
TRAF3IP2 (10758),1.0948090279692499e-05,2
NAALAD2 (10003),1.0881574192323901e-05,2
MAEA (10296),1.074667029171103e-05,2
SLC13A2 (9058),1.0639742192998746e-05,2
SSH1 (54434),1.0597268824720814e-05,2
PLXNA2 (5362),1.0541498548488269e-05,2
MGLL (11343),1.0418575250552509e-05,2
HOXA9 (3205),1.0362712514336055e-05,2
TLL1 (7092),1.0264231076156414e-05,2
LAS1L (81887),1.0263473545816488e-05,2
ZNF532 (55205),1.0105039538692357e-05,2
LTF (4057),1.0033507092927633e-05,2
APBB1IP (54518),1.0011533667608415e-05,2
LAMP2 (3920),9.703606663383181e-06,2
RTN4R (65078),9.667123797933204e-06,2
CAPG (822),9.428087495277425e-06,2
SNAPC1 (6617),9.244457706748818e-06,2
PRR11 (55771),9.20753895755727e-06,2
FUCA2 (2519),9.18862957648616e-06,2
UFL1 (23376),9.117181482903859e-06,2
USE1 (55850),8.957678663443293e-06,2
SEC61A2 (55176),8.921949870565182e-06,2
COL16A1 (1307),8.916847542958842e-06,2
CNOT3 (4849),8.85205234771459e-06,2
DGCR2 (9993),8.787115009961672e-06,2
ACAT1 (38),8.750389999889162e-06,2
IDS (3423),8.57060737585442e-06,2
EXOC5 (10640),8.37999253931397e-06,2
FAT1 (2195),8.37129164971525e-06,2
FGF10 (2255),8.255705153697659e-06,2
UFD1 (7353),8.204104372385056e-06,2
NEBL (10529),7.976349671075297e-06,2
EPHA3 (2042),7.97241498003955e-06,2
ATP9A (10079),7.969029816679619e-06,2
P2RY10 (27334),7.834878716937687e-06,2
CDH7 (1005),7.770360408827536e-06,2
VAMP3 (9341),7.739982347286162e-06,2
FHL1 (2273),7.6703268408075e-06,2
ZDHHC6 (64429),7.664907002119594e-06,2
FOLH1 (2346),7.616274829338465e-06,2
NRXN3 (9369),7.533097509390118e-06,2
RRM2B (50484),7.444836498441182e-06,2
ELOVL5 (60481),7.387983614814236e-06,2
CHRNA3 (1136),7.321836350249763e-06,2
COX10 (1352),7.255065453079618e-06,2
CD82 (3732),7.222553861165317e-06,2
PXN (5829),7.191834077605569e-06,2
ITM2A (9452),7.133204702466331e-06,2
IDH3G (3421),7.086777226051457e-06,2
SEL1L3 (23231),7.086572972865281e-06,2
TMEM161A (54929),7.0544808607718295e-06,2
PGR (5241),7.0432514040225636e-06,2
ADGRA2 (25960),6.995568926087339e-06,2
ISL1 (3670),6.8932266483823986e-06,2
CYFIP2 (26999),6.870266483609324e-06,2
GCLM (2730),6.8088591666673735e-06,2
AFF4 (27125),6.790235977056382e-06,2
CACNA2D2 (9254),6.778862844133668e-06,2
PER3 (8863),6.775410464132744e-06,2
TCF3 (6929),6.7625928398465665e-06,2
AASS (10157),6.7559732732105725e-06,2
BLTP2 (9703),6.747092182580381e-06,2
VRK2 (7444),6.716850295959333e-06,2
WDR62 (284403),6.593235250236173e-06,2
SYT1 (6857),6.587929686049805e-06,2
VEZT (55591),6.586929504379194e-06,2
LAMP3 (27074),6.4973732312616085e-06,2
TFAP2D (83741),6.476370353361577e-06,2
ARID1B (57492),6.437041888175515e-06,2
SLC26A4 (5172),6.433341103245441e-06,2
JADE2 (23338),6.421941371303887e-06,2
SPI1 (6688),6.417361024654316e-06,2
DCBLD2 (131566),6.321971531366118e-06,2
CFLAR (8837),6.256665179171858e-06,2
CALCOCO1 (57658),6.1709361300974935e-06,2
UTS2 (10911),6.1685263732123395e-06,2
PHF23 (79142),6.158177065119105e-06,2
ACSL4 (2182),6.122426029472262e-06,2
MOV10L1 (54456),6.0695402024944055e-06,2
COL5A3 (50509),6.06799266504791e-06,2
M6PR (4074),6.040421584273862e-06,2
ALDH3A2 (224),5.990001646870709e-06,2
DDHD2 (23259),5.885440876646335e-06,2
ST3GAL6 (10402),5.868029325489037e-06,2
PALB2 (79728),5.836295809534301e-06,2
HCCS (3052),5.787921196257306e-06,2
CYLD (1540),5.771776955212243e-06,2
MSANTD3 (91283),5.638757245175555e-06,2
TIGAR (57103),5.630633027393589e-06,2
PRKCQ (5588),5.625487645638668e-06,2
IFNGR1 (3459),5.600050431438019e-06,2
DOCK3 (1795),5.593986333698554e-06,2
MARK2 (2011),5.5645962873439e-06,2
GNPTG (84572),5.528146328957123e-06,2
STPG1 (90529),5.503253842763306e-06,2
OAT (4942),5.426830260639128e-06,2
CST7 (8530),5.39105243289797e-06,2
MYOM2 (9172),5.34591347655469e-06,2
ADGRF5 (221395),5.291903735571835e-06,2
FIRRM (55732),5.281593735859796e-06,2
MT3 (4504),5.107208589553046e-06,2
LAPTM4A (9741),5.055081831688248e-06,2
MTIF2 (4528),5.018944606516527e-06,2
PTCD2 (79810),4.985303495056348e-06,2
POLA2 (23649),4.794341162461452e-06,2
PRSS3 (5646),4.771478322457304e-06,2
ZNF37A (7587),4.715838107820626e-06,2
MGST1 (4257),4.629619779117081e-06,2
BTN3A1 (11119),4.585045464714684e-06,2
PAG1 (55824),4.581564909906308e-06,2
TNFRSF9 (3604),4.513970498702599e-06,2
TESC (54997),4.51375259518798e-06,2
AP3M2 (10947),4.490308355502484e-06,2
LAT2 (7462),4.460289017267774e-06,2
EPN3 (55040),4.447193674434099e-06,2
HACD3 (51495),4.382712292895432e-06,2
PITPNM2 (57605),4.361139615536e-06,2
PDE4A (5141),4.356554728804806e-06,2
ATP2C1 (27032),4.343186838800658e-06,2
LUC7L (55692),4.2702780331015565e-06,2
GLG1 (2734),4.253281604046826e-06,2
IFRD1 (3475),4.245405665002098e-06,2
CYP2W1 (54905),4.209611277306497e-06,2
ZNF324 (25799),4.177723292136789e-06,2
TXK (7294),4.140608583403427e-06,2
MRC2 (9902),4.137408071571283e-06,2
SPTB (6710),4.088161342279332e-06,2
IBSP (3381),4.082135661236872e-06,2
CXCL2 (2920),4.062767904617479e-06,2
ADAM28 (10863),3.989999005981434e-06,2
P2RX5 (5026),3.932665682957806e-06,2
ZCCHC8 (55596),3.924499158088604e-06,2
AMPH (273),3.922278657559129e-06,2
LDAF1 (57146),3.89387787645455e-06,2
CYBRD1 (79901),3.884505023261272e-06,2
CACNG4 (27092),3.849400474469246e-06,2
LSG1 (55341),3.838442597713577e-06,2
CUL3 (8452),3.828380571462422e-06,2
HEBP1 (50865),3.801608667655859e-06,2
PRSS21 (10942),3.798970365322695e-06,2
NUP133 (55746),3.783205652528452e-06,2
MAMLD1 (10046),3.759991073659833e-06,2
EML1 (2009),3.7394592504025284e-06,2
UPP2 (151531),3.71179802866521e-06,2
CEACAM1 (634),3.696624499083117e-06,2
KLHL42 (57542),3.6486135184056994e-06,2
PIR (8544),3.593334334372002e-06,2
KAT6A (7994),3.564491869953525e-06,2
MPC1 (51660),3.5421385418198867e-06,2
ARID4B (51742),3.4766611639363085e-06,2
FMO1 (2326),3.4426434258572513e-06,2
MARCO (8685),3.3815777499620863e-06,2
MRTO4 (51154),3.3512008456648694e-06,2
POLR2J (5439),3.3253473145007753e-06,2
TOLLIP (54472),3.272934292932947e-06,2
SUGP2 (10147),3.2367432685907167e-06,2
YBX3 (8531),3.2106048847281076e-06,2
SPEG (10290),3.2029152819240275e-06,2
SPPL2B (56928),3.194363588188918e-06,2
PSMB1 (5689),3.1411401494569516e-06,2
ZNF510 (22869),3.111379284513665e-06,2
CTNNA1 (1495),3.0887117231767546e-06,2
OPHN1 (4983),3.0787789053988785e-06,2
ERCC1 (2067),3.0681065771974636e-06,2
BCAS1 (8537),3.0568194776332036e-06,2
DNM2 (1785),3.031344633743075e-06,2
SRBD1 (55133),2.9997050713420714e-06,2
PIAS1 (8554),2.9858089745572e-06,2
GTSE1 (51512),2.977294680793272e-06,2
COL9A2 (1298),2.9621855067227626e-06,2
SLAMF7 (57823),2.9538672956206954e-06,2
RIMS1 (22999),2.917950026716576e-06,2
PLEKHO1 (51177),2.851239987879904e-06,2
TIPIN (54962),2.8254535950962587e-06,2
ADAM22 (53616),2.822739033462191e-06,2
RIPOR1 (79567),2.8172501975489504e-06,2
MLH1 (4292),2.8053354451792815e-06,2
FBXL3 (26224),2.782132927104153e-06,2
PSD (5662),2.7554558845914003e-06,2
MCOLN1 (57192),2.7542004379448937e-06,2
WDR18 (57418),2.7291949651045776e-06,2
MCOLN3 (55283),2.7274499048941815e-06,2
AGA (175),2.716865598581854e-06,2
FYN (2534),2.6735086779260263e-06,2
TMEM98 (26022),2.670392806021313e-06,2
PNPLA4 (8228),2.66113538999702e-06,2
FAM184B (27146),2.6571381601849178e-06,2
GTF3C1 (2975),2.6496096898323512e-06,2
ZNF112 (7771),2.64091994595516e-06,2
NDUFAB1 (4706),2.615477843482079e-06,2
POU4F3 (5459),2.6085634315291524e-06,2
CACNA1G (8913),2.578313037823653e-06,2
DDX11 (1663),2.5370261827096064e-06,2
CFAP61 (26074),2.5306088707967736e-06,2
TP63 (8626),2.4888557777551815e-06,2
SNX24 (28966),2.4047337329178665e-06,2
APOH (350),2.4033056176777135e-06,2
JKAMP (51528),2.3886939373626953e-06,2
RBL1 (5933),2.348462245066643e-06,2
CUL7 (9820),2.3319272283716647e-06,2
DYNC1I2 (1781),2.3230760749064973e-06,2
LAMB4 (22798),2.31650487708551e-06,2
RAB11FIP3 (9727),2.3153797770612457e-06,2
DHX32 (55760),2.30969400465586e-06,2
WWTR1 (25937),2.2952561615565307e-06,2
FAM50A (9130),2.2897230197665873e-06,2
SI (6476),2.2822687081587862e-06,2
CARMIL1 (55604),2.281211844910092e-06,2
MAP3K20 (51776),2.28059203953859e-06,2
RNF216 (54476),2.2221879352015003e-06,2
SNX29 (92017),2.2175367291957172e-06,2
CMTM6 (54918),2.1857831920701846e-06,2
PRKAR2B (5577),2.166632159315722e-06,2
ADSS2 (159),2.1518018654415534e-06,2
PTBP1 (5725),2.12539755421113e-06,2
MID2 (11043),2.1029722012463586e-06,2
LPAR2 (9170),2.06297324546016e-06,2
PRKACA (5566),2.061040342992104e-06,2
NRCAM (4897),2.041239560202699e-06,2
MAP4K4 (9448),2.026889281387583e-06,2
FGR (2268),2.0185949908458105e-06,2
ZNF76 (7629),2.011490466824439e-06,2
PTPRC (5788),1.9820420419983763e-06,2
PKN2 (5586),1.9742840904843665e-06,2
CPSF1 (29894),1.9669482082018875e-06,2
FAM135A (57579),1.956433951605313e-06,2
CUL1 (8454),1.928954914094393e-06,2
ACTN1 (87),1.925206092656172e-06,2
FMO4 (2329),1.9213011382106883e-06,2
PRDM6 (93166),1.9087395340031197e-06,2
CAMK2B (816),1.9057384024437144e-06,2
GOPC (57120),1.8953224825805978e-06,2
DOCK9 (23348),1.8608749843585598e-06,2
ST7L (54879),1.8490279324472909e-06,2
CD6 (923),1.826546779408086e-06,2
CACNG5 (27091),1.8155956880562081e-06,2
TNFRSF1B (7133),1.8097892211238201e-06,2
NFATC3 (4775),1.8031353320452398e-06,2
PGLYRP1 (8993),1.788739516727206e-06,2
RASGRF1 (5923),1.753583417492304e-06,2
PGM3 (5238),1.7512882044662703e-06,2
TPD52 (7163),1.7386621234571825e-06,2
SLC11A1 (6556),1.7358697474945919e-06,2
GSTO2 (119391),1.726843399829672e-06,2
MVP (9961),1.719022412853199e-06,2
HAGH (3029),1.6884710517816934e-06,2
SDHA (6389),1.6635456733956826e-06,2
SYT13 (57586),1.6578347914372853e-06,2
GDI2 (2665),1.6228682551169347e-06,2
ICAM3 (3385),1.6132053715723732e-06,2
NDUFS1 (4719),1.6018868261501363e-06,2
PDS5B (23047),1.59657809186922e-06,2
P2RX7 (5027),1.5935680813327343e-06,2
THAP3 (90326),1.5890455695161998e-06,2
LNX1 (84708),1.5867270122159353e-06,2
CLTCL1 (8218),1.58084788192377e-06,2
ADAT1 (23536),1.579772070568307e-06,2
HPF1 (54969),1.5744618549966313e-06,2
HMG20B (10362),1.5664549709644443e-06,2
YIPF1 (54432),1.5650810048026228e-06,2
SIRT4 (23409),1.5649429246083457e-06,2
TG (7038),1.5513547558307388e-06,2
SLC9A7 (84679),1.5333741537346668e-06,2
SRI (6717),1.5273352408365163e-06,2
APOB (338),1.5256364549197947e-06,2
