feature,mean_abs_shap,fold
GDI2 (2665),0.0013752873265533826,3
ZNF532 (55205),0.0006825895544867526,3
DNAJB11 (51726),0.0006772504582627621,3
KITLG (4254),0.0006716956441291424,3
ADGRL1 (22859),0.0005987447110164194,3
STXBP2 (6813),0.0005357437526675253,3
FBXW11 (23291),0.0005125811774406654,3
GRAMD4 (23151),0.0004809892368494944,3
MRC2 (9902),0.000445168138267521,3
IGF2BP2 (10644),0.0004085621158207597,3
SH3BP2 (6452),0.0004069257539920931,3
LMO3 (55885),0.0003940662636589014,3
EYA2 (2139),0.00038650303043756486,3
YBX3 (8531),0.0003833505782351194,3
SNX24 (28966),0.0003434599798126126,3
STYK1 (55359),0.0003075991136602342,3
THUMPD1 (55623),0.00030397223055096185,3
SNRPA (6626),0.00029149361811037976,3
ATP2B4 (493),0.0002622000384089072,3
SYNJ2 (8871),0.00025767351338003736,3
CD22 (933),0.00024153415383503698,3
CEACAM21 (90273),0.00022237910746850445,3
MAP3K20 (51776),0.00022138676241447643,3
CACNB1 (782),0.00022098919377805802,3
TIGAR (57103),0.00020133162919551878,3
KATNIP (23247),0.00018755354491740967,3
TRHDE (29953),0.0001816236255779676,3
SEPHS1 (22929),0.00017238506445196123,3
GPRC5A (9052),0.0001652957619302029,3
GCLC (2729),0.0001643549833067083,3
EXOC5 (10640),0.00016430609664545585,3
BIRC3 (330),0.0001641786999644255,3
NAT14 (57106),0.00015865389039608062,3
CA12 (771),0.00015521956327365104,3
OSBPL8 (114882),0.00015285795956016638,3
SLC27A5 (10998),0.00015168778562594092,3
PTPRH (5794),0.00013982274613681613,3
EHD2 (30846),0.0001347509277954264,3
SEL1L (6400),0.0001324325129645077,3
PDK2 (5164),0.0001285705429222068,3
DDX43 (55510),0.00011976578611383271,3
ST7 (7982),0.00011842977678165648,3
ANKRD10 (55608),0.00011749599302749393,3
ACTN2 (88),0.00011319108232157414,3
TUBG2 (27175),0.00011301639681078997,3
FOXP3 (50943),0.00011179020819276293,3
EBF4 (57593),0.00011062961974284001,3
MAP3K4 (4216),0.00010962475989874117,3
TENM1 (10178),0.00010933364385843623,3
PKP1 (5317),0.0001067146928627355,3
SCARF1 (8578),0.00010406720914126136,3
CACNG5 (27091),0.00010316017285933219,3
M6PR (4074),0.00010281893811949477,3
ZRANB1 (54764),0.00010152967677747905,3
HEBP1 (50865),0.00010086879238250841,3
GPC4 (2239),9.866618853085206e-05,3
HS3ST1 (9957),9.137868969513846e-05,3
KIF22 (3835),9.044271849064999e-05,3
LAMC2 (3918),8.996729319790479e-05,3
HES2 (54626),8.95275445669643e-05,3
NDE1 (54820),8.85719503986047e-05,3
CAMSAP3 (57662),8.729946001072704e-05,3
ACAT1 (38),8.720943845185405e-05,3
ADGRA2 (25960),8.52185921033907e-05,3
AMPH (273),8.486633726110145e-05,3
PLAUR (5329),8.347577933271317e-05,3
WNT16 (51384),8.344896408432547e-05,3
MLF2 (8079),8.320052917227505e-05,3
DCBLD2 (131566),8.100947234836705e-05,3
HEATR6 (63897),7.592229674601644e-05,3
EFNB1 (1947),7.441518167528929e-05,3
WIPI1 (55062),7.42748048892101e-05,3
IBSP (3381),7.403847771131096e-05,3
MBTD1 (54799),7.178822834259388e-05,3
CSDE1 (7812),7.161358512775423e-05,3
EIF2AK2 (5610),7.071768386571408e-05,3
SLC66A1 (54896),6.761951866863845e-05,3
BAZ2A (11176),6.66681721820482e-05,3
NOX1 (27035),6.436470622534068e-05,3
MAOB (4129),6.139983143633926e-05,3
LAMB1 (3912),6.050083854072318e-05,3
LAMP3 (27074),6.037138771500703e-05,3
GRHL2 (79977),5.916632199532892e-05,3
KCNG1 (3755),5.771589595507324e-05,3
UTS2 (10911),5.732183930148983e-05,3
ELN (2006),5.623548022196121e-05,3
ADD2 (119),5.455893475492296e-05,3
CYBA (1535),5.419692586389408e-05,3
SMOX (54498),5.214164701860105e-05,3
CYBRD1 (79901),5.0625964994851446e-05,3
SEC63 (11231),5.060427010494387e-05,3
FECH (2235),4.955024284067602e-05,3
MUSK (4593),4.942629185782069e-05,3
AURKA (6790),4.889447755837717e-05,3
CTTNBP2 (83992),4.8348926062545026e-05,3
BMAL2 (56938),4.8220923462401155e-05,3
EPN3 (55040),4.772585894700363e-05,3
RIMS1 (22999),4.767807175142075e-05,3
C3orf18 (51161),4.767428889123642e-05,3
EIPR1 (7260),4.714357751598124e-05,3
SPG21 (51324),4.600083019952242e-05,3
RCN1 (5954),4.576341209538434e-05,3
NKAIN1 (79570),4.531447330303061e-05,3
RHOBTB1 (9886),4.525076239012973e-05,3
ACHE (43),4.479973224476717e-05,3
ZNF800 (168850),4.470758940515402e-05,3
TMCC3 (57458),4.4214439947482586e-05,3
ALOX5 (240),4.383110837433519e-05,3
RANBP9 (10048),4.330089342949727e-05,3
FGFR2 (2263),4.313515109687959e-05,3
OSBPL6 (114880),4.2975425465046225e-05,3
SNCB (6620),4.2017483255846975e-05,3
HSD17B14 (51171),4.200065563928087e-05,3
SEMA5B (54437),4.147002613689705e-05,3
TTC22 (55001),4.137998074435141e-05,3
P2RX5 (5026),4.113093885506098e-05,3
LZTS3 (9762),4.111472818021149e-05,3
CHGB (1114),4.041224676241829e-05,3
CAPN6 (827),4.0365997262658654e-05,3
BAIAP2L1 (55971),4.0294930081312515e-05,3
SNAI2 (6591),3.9617190276169824e-05,3
CNOT3 (4849),3.958400241589495e-05,3
LTBP4 (8425),3.958340213819256e-05,3
PTGS2 (5743),3.951262876922709e-05,3
SENP1 (29843),3.950052905461457e-05,3
GPM6B (2824),3.9430727089659246e-05,3
DPF1 (8193),3.748921542619187e-05,3
RGPD5 (84220),3.7431905535165794e-05,3
ZXDC (79364),3.717379880220397e-05,3
IPCEF1 (26034),3.6949276402436415e-05,3
SLAMF7 (57823),3.68904910310656e-05,3
TSG101 (7251),3.542120081225099e-05,3
RRP15 (51018),3.486539003076774e-05,3
AARS1 (16),3.4574269639607806e-05,3
FSCN1 (6624),3.444123852121512e-05,3
SMAP2 (64744),3.4412022921121735e-05,3
FAM168A (23201),3.426386670500116e-05,3
DGKA (1606),3.387867144183999e-05,3
SEMA3B (7869),3.376052403357167e-05,3
SOX8 (30812),3.3266880781491086e-05,3
PUM2 (23369),3.324336192669229e-05,3
DNM1L (10059),3.318451408021095e-05,3
ACAA1 (30),3.2837587951015e-05,3
CPS1 (1373),3.160059590468661e-05,3
PFKP (5214),3.1514894121262594e-05,3
MBNL3 (55796),3.1276511125609966e-05,3
JMJD6 (23210),3.084747656635312e-05,3
SNX1 (6642),3.056137955376515e-05,3
NMRK2 (27231),3.053274103571845e-05,3
MAP2K3 (5606),3.0327284003535187e-05,3
MGLL (11343),3.0084217982875472e-05,3
VCAN (1462),3.001135231900052e-05,3
TMEM132A (54972),2.9680475184421583e-05,3
P4HA2 (8974),2.9411311242981858e-05,3
SDF4 (51150),2.883152635990058e-05,3
NGEF (25791),2.8286173462337887e-05,3
MMP25 (64386),2.8258710048019523e-05,3
SH3YL1 (26751),2.8172979872338336e-05,3
RABGAP1 (23637),2.7727099095976597e-05,3
ARG2 (384),2.7354354031978337e-05,3
HSPB6 (126393),2.723003133225594e-05,3
IKZF2 (22807),2.6956781245599047e-05,3
GLI2 (2736),2.6955847227880783e-05,3
