feature,mean_abs_shap,std_abs_shap,max_abs_shap,sum_abs_shap,num_folds_present
CD99 (4267),3.629454240201949e-05,,3.629454240201949e-05,3.629454240201949e-05,1
SCEL (8796),3.621770026584885e-05,,3.621770026584885e-05,3.621770026584885e-05,1
SERPINA3 (12),3.613173856268095e-05,,3.613173856268095e-05,3.613173856268095e-05,1
PLCB2 (5330),3.597842532216903e-05,,3.597842532216903e-05,3.597842532216903e-05,1
TWIST1 (7291),3.593504363551772e-05,,3.593504363551772e-05,3.593504363551772e-05,1
CERCAM (51148),3.582046562375887e-05,,3.582046562375887e-05,3.582046562375887e-05,1
PRODH (5625),3.529448474847948e-05,,3.529448474847948e-05,3.529448474847948e-05,1
MGST2 (4258),3.526473190052452e-05,,3.526473190052452e-05,3.526473190052452e-05,1
NPTX1 (4884),3.5163345243132756e-05,,3.5163345243132756e-05,3.5163345243132756e-05,1
PSD4 (23550),3.507272451087658e-05,,3.507272451087658e-05,3.507272451087658e-05,1
HSPB1 (3315),3.4968037825296404e-05,,3.4968037825296404e-05,3.4968037825296404e-05,1
SPRY2 (10253),3.495736890171669e-05,,3.495736890171669e-05,3.495736890171669e-05,1
RNF130 (55819),3.493384986944483e-05,,3.493384986944483e-05,3.493384986944483e-05,1
LGALS1 (3956),3.460622937948054e-05,,3.460622937948054e-05,3.460622937948054e-05,1
CA8 (767),3.423584013170438e-05,,3.423584013170438e-05,3.423584013170438e-05,1
SLFN13 (146857),3.4144327419436504e-05,,3.4144327419436504e-05,3.4144327419436504e-05,1
SMIM3 (85027),3.3972619057037734e-05,,3.3972619057037734e-05,3.3972619057037734e-05,1
TNFRSF10D (8793),3.390929381457472e-05,,3.390929381457472e-05,3.390929381457472e-05,1
FOSL1 (8061),3.386156680682851e-05,,3.386156680682851e-05,3.386156680682851e-05,1
WNT7B (7477),3.385537343689397e-05,,3.385537343689397e-05,3.385537343689397e-05,1
TPM1 (7168),3.3836510122419023e-05,,3.3836510122419023e-05,3.3836510122419023e-05,1
DSC2 (1824),3.3818662046558926e-05,,3.3818662046558926e-05,3.3818662046558926e-05,1
MMP28 (79148),3.372342623292196e-05,,3.372342623292196e-05,3.372342623292196e-05,1
CXCR4 (7852),3.365754348084975e-05,,3.365754348084975e-05,3.365754348084975e-05,1
WWTR1 (25937),3.356479361250728e-05,,3.356479361250728e-05,3.356479361250728e-05,1
GALM (130589),3.3353157674655664e-05,,3.3353157674655664e-05,3.3353157674655664e-05,1
DHRS9 (10170),3.31310234020797e-05,,3.31310234020797e-05,3.31310234020797e-05,1
COL6A3 (1293),3.3117984025951456e-05,,3.3117984025951456e-05,3.3117984025951456e-05,1
GYPC (2995),3.308852256116701e-05,,3.308852256116701e-05,3.308852256116701e-05,1
GLMP (112770),3.304109578839031e-05,,3.304109578839031e-05,3.304109578839031e-05,1
COL1A1 (1277),3.2998687471450824e-05,,3.2998687471450824e-05,3.2998687471450824e-05,1
UPP1 (7378),3.283445534430151e-05,,3.283445534430151e-05,3.283445534430151e-05,1
KRT19 (3880),3.274494375276044e-05,,3.274494375276044e-05,3.274494375276044e-05,1
SMOC1 (64093),3.272315602220292e-05,,3.272315602220292e-05,3.272315602220292e-05,1
PDLIM1 (9124),3.271377230389194e-05,,3.271377230389194e-05,3.271377230389194e-05,1
NHERF2 (9351),3.240845805911899e-05,,3.240845805911899e-05,3.240845805911899e-05,1
F2R (2149),3.2114710742898615e-05,,3.2114710742898615e-05,3.2114710742898615e-05,1
CRYBG1 (202),3.2083746192441764e-05,,3.2083746192441764e-05,3.2083746192441764e-05,1
TMEM98 (26022),3.205542819045694e-05,,3.205542819045694e-05,3.205542819045694e-05,1
PROM2 (150696),3.205165615625362e-05,,3.205165615625362e-05,3.205165615625362e-05,1
TPM2 (7169),3.1880695434511626e-05,,3.1880695434511626e-05,3.1880695434511626e-05,1
ST3GAL6 (10402),3.1847164071511594e-05,,3.1847164071511594e-05,3.1847164071511594e-05,1
PHGDH (26227),3.167395921549687e-05,,3.167395921549687e-05,3.167395921549687e-05,1
KLK10 (5655),3.161645999638785e-05,,3.161645999638785e-05,3.161645999638785e-05,1
FOS (2353),3.149253701612695e-05,,3.149253701612695e-05,3.149253701612695e-05,1
MET (4233),3.1348944781653484e-05,,3.1348944781653484e-05,3.1348944781653484e-05,1
AQP3 (360),3.1329869430861816e-05,,3.1329869430861816e-05,3.1329869430861816e-05,1
COL4A1 (1282),3.132314671902226e-05,,3.132314671902226e-05,3.132314671902226e-05,1
GATA2 (2624),3.119026855777973e-05,,3.119026855777973e-05,3.119026855777973e-05,1
GPC3 (2719),3.1166159782148165e-05,,3.1166159782148165e-05,3.1166159782148165e-05,1
TENM2 (57451),3.1134887285143366e-05,,3.1134887285143366e-05,3.1134887285143366e-05,1
OSMR (9180),3.102454645406915e-05,,3.102454645406915e-05,3.102454645406915e-05,1
EPB41L3 (23136),3.093270167280669e-05,,3.093270167280669e-05,3.093270167280669e-05,1
PRXL2A (84293),3.07574231578038e-05,,3.07574231578038e-05,3.07574231578038e-05,1
ACTN1 (87),3.068667288962143e-05,,3.068667288962143e-05,3.068667288962143e-05,1
TSTD1 (100131187),3.0657366824384305e-05,,3.0657366824384305e-05,3.0657366824384305e-05,1
MRC2 (9902),3.0606483723063366e-05,,3.0606483723063366e-05,3.0606483723063366e-05,1
CRIP1 (1396),3.0393201568906272e-05,,3.0393201568906272e-05,3.0393201568906272e-05,1
ID1 (3397),3.0345575120402818e-05,,3.0345575120402818e-05,3.0345575120402818e-05,1
GALC (2581),3.0159871387082584e-05,,3.0159871387082584e-05,3.0159871387082584e-05,1
MAN1A1 (4121),3.0111857522033976e-05,,3.0111857522033976e-05,3.0111857522033976e-05,1
CD9 (928),2.9969333606077154e-05,,2.9969333606077154e-05,2.9969333606077154e-05,1
BCAM (4059),2.9873569731208225e-05,,2.9873569731208225e-05,2.9873569731208225e-05,1
MFAP5 (8076),2.9852534257888846e-05,,2.9852534257888846e-05,2.9852534257888846e-05,1
HOXB6 (3216),2.9818539609231303e-05,,2.9818539609231303e-05,2.9818539609231303e-05,1
WWC1 (23286),2.9670018251976118e-05,,2.9670018251976118e-05,2.9670018251976118e-05,1
FLNC (2318),2.9547672268653055e-05,,2.9547672268653055e-05,2.9547672268653055e-05,1
TRIP6 (7205),2.937930633374067e-05,,2.937930633374067e-05,2.937930633374067e-05,1
